counter, keyextract, sign, verify, total 
130,70.039400,47.962000,23.837500,141.838900 
131,41.790200,69.066100,20.912200,131.768500 
132,46.729800,51.558200,21.199000,119.487000 
133,55.806300,77.902900,24.618300,158.327500 
134,86.813800,52.543000,21.003000,160.359800 
135,53.233100,86.034400,27.580100,166.847600 
136,46.344800,77.231200,21.131400,144.707400 
137,56.120800,78.074300,21.469500,155.664600 
138,50.717900,52.670600,20.635900,124.024400 
139,56.304500,90.789300,20.979300,168.073100 
140,66.577800,83.105000,20.773800,170.456600 
141,50.806800,83.098900,20.778600,154.684300 
142,55.803800,67.136600,21.369200,144.309600 
143,40.550700,67.871200,21.343400,129.765300 
144,71.072600,61.855300,20.618700,153.546600 
145,61.348200,56.725500,20.982000,139.055700 
146,46.219600,77.930900,21.123900,145.274400 
147,45.511600,52.745800,20.869900,119.127300 
148,62.094200,67.178900,21.206600,150.479700 
149,40.000700,87.561600,21.202200,148.764500 
150,58.058600,75.573300,21.295600,154.927500 
151,61.075100,62.031400,20.932300,144.038800 
152,46.260400,61.951000,20.677200,128.888600 
153,66.295400,51.559900,20.843800,138.699100 
154,45.885400,56.768500,21.212800,123.866700 
155,66.135100,63.130000,21.628200,150.893300 
156,77.340900,66.776600,20.816600,164.934100 
157,45.810800,73.192800,25.731300,144.734900 
158,71.415500,97.916300,20.636700,189.968500 
159,46.267000,68.897800,23.718000,138.882800 
160,55.858900,52.101100,22.035600,129.995600 
161,56.334100,77.363000,20.706400,154.403500 
162,45.878200,66.943700,21.310900,134.132800 
163,66.238700,52.355500,20.968000,139.562200 
164,52.843100,68.408300,26.888200,148.139600 
165,57.821100,70.858900,22.924400,151.604400 
166,92.078600,66.818400,22.133400,181.030400 
167,43.250200,75.456900,22.453300,141.160400 
168,72.149000,57.076700,20.909100,150.134800 
169,51.178100,57.588500,21.033700,129.800300 
170,50.798300,51.628500,20.685200,123.112000 
171,45.941700,75.494700,21.166900,142.603300 
172,50.354800,51.894600,21.323500,123.572900 
173,55.852900,114.992300,20.855300,191.700500 
174,61.175000,62.250700,20.720400,144.146100 
175,71.248500,62.201700,20.770000,154.220200 
176,61.236600,72.698400,20.908100,154.843100 
177,40.319000,62.517800,21.233300,124.070100 
178,87.854100,51.963200,21.204300,161.021600 
179,50.890100,56.987900,20.919600,128.797600 
180,46.514700,93.349300,20.871500,160.735500 
181,46.167900,62.704200,20.845600,129.717700 
182,45.675400,61.923000,24.267600,131.866000 
183,55.479500,61.830600,20.839400,138.149500 
184,61.620400,56.891600,23.327900,141.839900 
185,62.077600,72.300800,20.617000,154.995400 
186,45.999900,82.626700,20.360200,148.986800 
187,66.026100,62.753000,20.850300,149.629400 
188,46.816100,48.413800,20.883900,116.113800 
189,56.308700,51.367400,21.189800,128.865900 
190,61.609000,68.904900,21.874100,152.388000 
191,50.928800,62.440300,21.063100,134.432200 
192,68.755800,87.695400,20.636900,177.088100 
193,61.168600,51.808500,20.747400,133.724500 
194,45.638400,46.081200,20.614600,112.334200 
195,66.411500,77.818300,21.719300,165.949100 
196,79.266700,89.712200,21.364900,190.343800 
197,51.026000,47.979700,20.872000,119.877700 
198,56.067300,68.145100,21.711400,145.923800 
199,40.070400,93.052800,21.233600,154.356800 
200,40.997900,58.046400,20.732400,119.776700 
201,51.245200,62.558600,20.758300,134.562100 
202,61.701800,63.666200,21.065000,146.433000 
203,45.649800,61.796700,27.520600,134.967100 
204,74.748000,47.252000,21.922900,143.922900 
205,60.797400,90.133900,20.956600,171.887900 
206,45.577500,66.871600,20.713300,133.162400 
207,50.439900,67.277100,20.940800,138.657800 
208,50.782600,52.819200,21.544000,125.145800 
209,71.942700,51.691000,20.708700,144.342400 
210,61.151200,52.016100,20.782000,133.949300 
211,50.214600,52.266300,21.024000,123.504900 
212,51.008000,51.550100,20.687500,123.245600 
213,72.848700,51.965000,20.924900,145.738600 
214,51.652800,58.818600,21.424000,131.895400 
215,51.080300,56.531000,21.054500,128.665800 
216,76.525100,72.087700,20.578300,169.191100 
217,60.991100,56.854300,20.918100,138.763500 
218,50.794900,97.740100,20.663100,169.198100 
219,40.712200,62.820100,27.590100,131.122400 
