counter, keyextract, sign, verify, total 
326,1.784000,2.561400,4.316000,8.661400 
327,1.855600,2.460700,4.194000,8.510300 
328,1.807700,2.577400,4.337100,8.722200 
329,1.828400,2.494300,4.177300,8.500000 
330,2.533700,2.566600,4.289300,9.389600 
331,1.805000,2.478700,4.389000,8.672700 
332,1.928400,2.494700,4.310600,8.733700 
333,2.031200,2.475400,4.177200,8.683800 
334,1.854300,2.454500,4.307000,8.615800 
335,2.009000,2.794500,4.350200,9.153700 
336,2.304800,2.602400,4.369700,9.276900 
337,1.928100,2.453500,4.357400,8.739000 
338,2.154600,2.627500,4.508900,9.291000 
339,1.800800,2.618700,4.374300,8.793800 
340,1.797900,2.478200,4.284700,8.560800 
341,1.959600,2.826200,4.377500,9.163300 
342,2.674800,2.581500,4.579000,9.835300 
343,1.881500,2.447400,4.406300,8.735200 
344,1.944100,2.549700,4.391500,8.885300 
345,1.840600,2.454700,4.366200,8.661500 
346,1.836000,2.544300,4.289000,8.669300 
347,1.925500,2.631200,5.019800,9.576500 
348,3.719800,2.788100,5.839900,12.347800 
349,2.078300,2.483200,4.302200,8.863700 
350,1.819200,2.529500,4.284200,8.632900 
351,2.004400,2.472600,4.259100,8.736100 
352,1.978700,2.524200,4.329900,8.832800 
353,1.904700,2.530300,4.226500,8.661500 
354,2.305600,2.502600,4.198100,9.006300 
355,1.887000,2.473200,4.294200,8.654400 
356,1.784400,2.489200,4.713400,8.987000 
357,1.949300,2.347400,4.389100,8.685800 
358,1.820700,2.647100,4.636700,9.104500 
359,1.768000,2.670000,4.552100,8.990100 
360,2.552300,2.524300,4.203700,9.280300 
361,1.908600,2.520800,4.658900,9.088300 
362,1.882200,2.276400,4.443300,8.601900 
363,1.807400,2.556000,4.608700,8.972100 
364,2.012300,2.419500,4.227800,8.659600 
365,1.998800,2.539300,4.333000,8.871100 
366,2.355700,2.533800,4.233800,9.123300 
367,1.880500,2.471400,4.186600,8.538500 
368,1.908800,2.465100,4.230100,8.604000 
369,1.888800,2.512700,4.350900,8.752400 
370,1.875100,2.498500,4.207400,8.581000 
371,1.902000,2.643600,4.409700,8.955300 
372,2.349100,2.469700,4.248700,9.067500 
373,2.034200,2.521600,4.236200,8.792000 
374,1.846800,2.435700,4.303100,8.585600 
375,1.897500,2.453800,4.200800,8.552100 
376,1.827600,2.618600,4.373200,8.819400 
377,1.823300,2.566600,4.192400,8.582300 
378,2.635500,2.576300,6.703000,11.914800 
