counter, keyextract, sign, verify, total 
189,7.956900,12.462800,7.319300,27.739000 
190,7.950600,11.517900,6.150400,25.618900 
191,8.569600,11.427800,6.271300,26.268700 
192,7.936600,11.676000,6.399900,26.012500 
193,7.627900,11.417100,6.246400,25.291400 
194,7.652300,11.716000,6.281300,25.649600 
195,7.599100,11.489700,6.218500,25.307300 
196,7.610400,11.805200,6.384500,25.800100 
197,7.623800,11.597200,6.680600,25.901600 
198,7.634000,11.637700,6.308800,25.580500 
199,7.626000,11.500200,6.216100,25.342300 
200,7.689300,11.693000,6.418600,25.800900 
201,7.723300,13.516900,6.449600,27.689800 
202,7.626400,11.602100,6.302800,25.531300 
203,8.194000,11.469900,6.178500,25.842400 
204,7.681500,11.935900,6.280500,25.897900 
205,7.723800,11.435600,6.816600,25.976000 
206,7.622000,11.606200,6.518400,25.746600 
207,7.613400,11.614800,6.238400,25.466600 
208,7.588000,11.602700,6.294700,25.485400 
209,7.630100,11.446400,6.140300,25.216800 
210,7.608700,11.638200,6.332300,25.579200 
211,7.676300,11.684400,6.658900,26.019600 
212,7.665200,11.600200,6.395700,25.661100 
213,7.591800,11.377600,6.649800,25.619200 
214,7.577100,11.636000,6.143500,25.356600 
215,7.676200,11.474700,6.378700,25.529600 
216,7.608800,11.757700,6.468900,25.835400 
217,7.599400,11.438900,6.317000,25.355300 
218,7.615100,11.431300,6.114400,25.160800 
219,7.724400,11.404900,6.255000,25.384300 
220,7.597200,12.052700,6.360900,26.010800 
221,7.653200,11.534900,6.753300,25.941400 
222,7.734800,11.726500,6.400700,25.862000 
223,7.514200,11.477300,6.312000,25.303500 
224,7.553800,11.491200,6.184100,25.229100 
225,7.546500,11.372500,6.350000,25.269000 
226,7.686000,11.594800,6.309400,25.590200 
227,7.660400,11.595000,6.256400,25.511800 
228,7.602700,11.796300,6.281800,25.680800 
229,7.534200,11.417000,6.585000,25.536200 
230,7.707700,11.782700,6.584100,26.074500 
231,7.610600,11.431800,6.478800,25.521200 
232,7.841900,11.750000,6.337300,25.929200 
233,7.697500,11.506100,6.402700,25.606300 
234,7.631500,11.954000,6.229500,25.815000 
235,7.732900,11.457100,6.455200,25.645200 
236,7.780000,11.718300,6.531500,26.029800 
237,7.749900,11.492500,6.923500,26.165900 
238,8.326800,12.446800,6.833600,27.607200 
239,7.694300,11.539100,6.131400,25.364800 
240,7.532100,12.145000,6.354000,26.031100 
241,7.612800,11.522400,6.305900,25.441100 
242,7.736100,11.627900,6.388900,25.752900 
243,7.706000,11.452200,6.288300,25.446500 
244,7.810100,11.667100,6.877000,26.354200 
245,7.552300,11.524800,6.788700,25.865800 
246,7.629300,11.634000,6.452000,25.715300 
247,7.649800,11.420400,6.169700,25.239900 
248,7.538800,11.529400,6.162600,25.230800 
249,7.677000,11.712200,6.361600,25.750800 
250,7.680700,11.620400,6.280000,25.581100 
251,7.694400,11.591100,6.320200,25.605700 
252,7.948200,13.065000,6.470400,27.483600 
253,7.863100,11.555300,6.603300,26.021700 
254,7.719800,11.717300,6.398400,25.835500 
255,7.782000,11.622700,6.401200,25.805900 
256,8.076700,11.684600,6.591900,26.353200 
257,7.726100,11.781500,6.258800,25.766400 
258,7.605700,11.450700,6.183000,25.239400 
259,7.679600,11.367300,6.299000,25.345900 
260,7.616300,11.967600,6.410000,25.993900 
261,7.599200,11.753700,6.750900,26.103800 
262,7.509000,11.664400,6.427700,25.601100 
263,7.610500,11.878800,6.243500,25.732800 
264,7.650400,11.472400,6.408600,25.531400 
265,7.672800,11.540400,6.720000,25.933200 
266,7.650300,11.646900,6.303400,25.600600 
267,7.610900,11.462800,6.242000,25.315700 
268,7.866900,12.562900,6.343400,26.773200 
269,8.218900,11.348000,6.650000,26.216900 
270,8.018100,11.698200,6.296800,26.013100 
271,7.587800,11.487500,6.562200,25.637500 
272,7.639400,11.872000,6.652200,26.163600 
273,7.608100,11.319200,6.232000,25.159300 
274,7.696700,11.557100,6.487300,25.741100 
275,7.601700,11.596900,6.404400,25.603000 
276,7.648500,11.947200,6.351000,25.946700 
277,7.683400,11.387800,6.639200,25.710400 
278,7.578700,11.651600,6.314600,25.544900 
279,8.124300,11.351100,6.327400,25.802800 
280,7.764600,11.723500,6.356700,25.844800 
281,7.843800,11.483100,6.801300,26.128200 
282,8.091000,12.185500,6.483900,26.760400 
283,8.261800,11.779000,6.361000,26.401800 
284,7.592100,11.693500,6.347800,25.633400 
285,7.921600,15.728900,7.892100,31.542600 
286,7.617900,11.937200,6.405300,25.960400 
287,7.590800,11.390900,9.343600,28.325300 
288,7.594800,11.547100,6.452000,25.593900 
289,7.589300,11.492100,7.332700,26.414100 
290,7.655300,11.651500,6.326400,25.633200 
291,7.619500,11.369300,6.375500,25.364300 
292,7.683500,11.551500,6.273500,25.508500 
293,7.707200,11.551400,7.127000,26.385600 
294,7.679000,11.588500,6.441000,25.708500 
295,7.668400,11.460900,6.277900,25.407200 
296,7.689400,12.902300,6.464400,27.056100 
297,7.926800,11.952800,6.571500,26.451100 
298,7.633400,11.618500,6.495100,25.747000 
299,7.908600,11.451400,6.438400,25.798400 
300,7.902800,12.162500,6.623100,26.688400 
301,7.874200,11.408800,6.541500,25.824500 
302,7.565000,11.648500,6.248700,25.462200 
303,7.736600,11.548700,6.210800,25.496100 
304,7.599000,11.711900,6.403200,25.714100 
305,7.753300,11.603800,6.268700,25.625800 
306,7.816700,12.145200,6.392500,26.354400 
307,8.003100,11.358600,6.524800,25.886500 
308,7.635400,11.497200,6.360400,25.493000 
309,7.712300,11.616500,6.937200,26.266000 
310,7.771800,11.724700,7.109300,26.605800 
311,11.675300,12.647300,6.665200,30.987800 
312,7.830200,11.575000,6.521100,25.926300 
313,7.810100,11.606100,6.395600,25.811800 
314,7.687100,11.673700,6.370500,25.731300 
315,7.676300,11.686000,6.604400,25.966700 
316,7.608200,11.898700,6.320900,25.827800 
317,7.634200,11.508200,6.838100,25.980500 
318,7.615800,14.006700,6.493700,28.116200 
319,7.674800,11.609400,6.344100,25.628300 
320,7.762300,13.019100,10.556000,31.337400 
321,7.768000,12.146000,6.923100,26.837100 
322,7.692700,12.143400,6.491300,26.327400 
323,10.227400,17.347900,9.714700,37.290000 
324,7.808400,11.639400,6.504100,25.951900 
325,7.779500,12.037300,6.963300,26.780100 
326,7.629200,11.594700,6.369500,25.593400 
327,7.748400,11.336600,6.352600,25.437600 
328,7.632200,11.541900,6.328400,25.502500 
329,7.599800,11.390200,6.234500,25.224500 
330,7.613200,11.807700,6.355900,25.776800 
331,7.561500,11.455700,6.325000,25.342200 
332,7.639100,14.972100,6.886600,29.497800 
333,7.635400,11.598300,6.758400,25.992100 
334,7.546600,11.674900,6.314000,25.535500 
335,7.617400,11.567300,6.282200,25.466900 
336,7.823400,12.058900,6.387700,26.270000 
337,7.627800,11.426800,6.275700,25.330300 
338,7.675100,12.306000,6.349700,26.330800 
339,7.713500,11.404000,6.311200,25.428700 
340,7.577700,11.585500,6.545300,25.708500 
341,7.543700,11.442000,6.812400,25.798100 
342,8.004400,11.981300,6.406000,26.391700 
343,7.665600,11.356500,6.289900,25.312000 
344,7.715600,11.677600,6.514000,25.907200 
345,7.779400,11.595700,6.505500,25.880600 
346,7.570100,11.734700,6.343300,25.648100 
